correct,label,text
notzatsudan,zatsudan,M の 美 魔女 上司 に ハイヒール で 踏みつける られる たい ない です か ?
zatsudan,notzatsudan,消費 税 値上げ って いつ から だ っけ ？
zatsudan,zatsudan,う ざい 。
zatsudan,zatsudan,通勤 電車 って 死ぬ ほど 辛い ない か なぁ 、 俺 は そう 思う なぁ
notzatsudan,notzatsudan,Android って どういう 意味 です か ？
zatsudan,zatsudan,最近 ストレス やばい わ ー
zatsudan,zatsudan,コーヒー が 飲む たい 。
notzatsudan,notzatsudan,東野 圭吾 の 新作 タイトル 教える て
notzatsudan,notzatsudan,高円寺 で 一番 人気 の ラーメン 屋 は ？
zatsudan,notzatsudan,満員 電車 って 嫌 だ よ ね
zatsudan,zatsudan,無人島 に 行く と する た なに を もつ て いく ？
zatsudan,zatsudan,たのしい なぁ
notzatsudan,notzatsudan,タバコ 吸う 人 いる ます か ？
zatsudan,notzatsudan,先週 は サンフランシスコ に いる ます た 。
zatsudan,zatsudan,チョー むかつく 。
zatsudan,zatsudan,この 会社 男 ばっか だ よ ね
notzatsudan,zatsudan,映画 で 好き だ の は 何 です か ?
notzatsudan,notzatsudan,サブカル って 知る て ます か ?
zatsudan,zatsudan,大阪 名物 と いう ば ？
zatsudan,zatsudan,ついつい 夜 更かす する ちゃう ん だ よ ね
zatsudan,notzatsudan,映画 館 って 眠い なる よ ね ？
zatsudan,zatsudan,ゲーム を やる て いる て 夜 が 白 じん で くる と 退廃 的 だ なに か よい なぁ
zatsudan,zatsudan,ひま だ なあ 。
zatsudan,zatsudan,生産 性 アップ とか コストダウン なんて くそ くらえる だ よ ね
zatsudan,zatsudan,いつ に する ？
zatsudan,zatsudan,それ な ！
notzatsudan,zatsudan,千葉 県 の 特産 物 って なに ？
notzatsudan,zatsudan,気温 は 何 度 です か ？
zatsudan,zatsudan,おーい
zatsudan,zatsudan,小説 読む だ 頭 よく なる ん じゃ
zatsudan,zatsudan,むく ちる ゃっかふぁいや ー
zatsudan,zatsudan,日本 死 ね
zatsudan,zatsudan,愛す てる
zatsudan,zatsudan,おい キタロウ
zatsudan,zatsudan,明日 天気 良い ば いい ねー
zatsudan,zatsudan,天気 の いい 日 は バーベキュー です 。
zatsudan,zatsudan,梅雨 の 時期 に は 雨 が 降る ない と 、 水不足 に なる 。
zatsudan,notzatsudan,温暖 化 の 影響 で 日本 は 暑い なる て いる 。
zatsudan,zatsudan,天気 が いい 日 は ハイキング です 。
zatsudan,zatsudan,天気 が いい 日 は ウォーキング よ ね 。
zatsudan,notzatsudan,雨 の 時 は 家 に いる ます 。
zatsudan,notzatsudan,雨 の 日 に は 映画 を 見る ます 。
zatsudan,zatsudan,いく ピカチュウ ！ １ ０ ま ん ボルト だ ！
zatsudan,zatsudan,gpu の ある パソコン 欲しい な
zatsudan,zatsudan,自分 を 知る ため に は 、 自分 と 話す ば いい 。
zatsudan,zatsudan,CS 初戦 　 藤波 先発 が 全て よ
zatsudan,zatsudan,データ を 増やす 必要 が ある
zatsudan,zatsudan,データ を 増やす の は 非常 に 大変 だ 。
zatsudan,zatsudan,誰 か に データ を 作る お手伝い を お願い する べし だ
zatsudan,zatsudan,明日 は 晴れ に 違い ない 。
